,company,location,title
100,CoreLogic,"Irvine, CA",Data Scientist
101,CoreLogic,"Irvine, CA",Data Scientist
102,CoreLogic,"Irvine, CA",Data Scientist
103,CoreLogic,"Irvine, CA",Data Scientist
104,CoreLogic,"Irvine, CA",Data Scientist
105,CoreLogic,"Irvine, CA",Data Scientist
106,CoreLogic,"Irvine, CA",Data Scientist
107,CoreLogic,"Irvine, CA",Data Scientist
108,Indeed,"San Francisco, CA",Data Scientist
109,CoreLogic,"Irvine, CA",Data Scientist
110,Ariosa Diagnostics,"San Jose, CA",Data Scientist
111,Ariosa Diagnostics,"San Jose, CA",Data Scientist
112,Ariosa Diagnostics,"San Jose, CA",Data Scientist
113,Ariosa Diagnostics,"San Jose, CA",Data Scientist
114,Ariosa Diagnostics,"San Jose, CA",Data Scientist
115,Ariosa Diagnostics,"San Jose, CA",Data Scientist
116,Ariosa Diagnostics,"San Jose, CA",Data Scientist
117,Ariosa Diagnostics,"San Jose, CA",Data Scientist
118,Ariosa Diagnostics,"San Jose, CA",Data Scientist
119,Ariosa Diagnostics,"San Jose, CA",Data Scientist
120,Indeed,"San Francisco, CA",Data Scientist
121,National Security Agency,"Fort George G Meade, MD",Data Scientist
122,Ariosa Diagnostics,"San Jose, CA",Data Scientist
123,Ariosa Diagnostics,"San Jose, CA",Data Scientist
124,Ariosa Diagnostics,"San Jose, CA",Data Scientist
125,Ariosa Diagnostics,"San Jose, CA",Data Scientist
126,Ariosa Diagnostics,"San Jose, CA",Data Scientist
127,Ariosa Diagnostics,"San Jose, CA",Data Scientist
128,Ariosa Diagnostics,"San Jose, CA",Data Scientist
129,Ariosa Diagnostics,"San Jose, CA",Data Scientist
130,Ariosa Diagnostics,"San Jose, CA",Data Scientist
131,Ariosa Diagnostics,"San Jose, CA",Data Scientist
132,Indeed,"San Francisco, CA",Data Scientist
133,CoreLogic,"Irvine, CA",Data Scientist
134,Ariosa Diagnostics,"San Jose, CA",Data Scientist
135,Ariosa Diagnostics,"San Jose, CA",Data Scientist
136,Ariosa Diagnostics,"San Jose, CA",Data Scientist
137,Ariosa Diagnostics,"San Jose, CA",Data Scientist
138,Ariosa Diagnostics,"San Jose, CA",Data Scientist
139,Ariosa Diagnostics,"San Jose, CA",Data Scientist
140,Ariosa Diagnostics,"San Jose, CA",Data Scientist
141,Ariosa Diagnostics,"San Jose, CA",Data Scientist
142,Ariosa Diagnostics,"San Jose, CA",Data Scientist
143,Ariosa Diagnostics,"San Jose, CA",Data Scientist
144,Indeed,"San Francisco, CA",Data Scientist
145,Ariosa Diagnostics,"San Jose, CA",Data Scientist
146,CoreLogic,"Irvine, CA",Data Scientist
147,CoreLogic,"Irvine, CA",Data Scientist
148,CoreLogic,"Irvine, CA",Data Scientist
149,CoreLogic,"Irvine, CA",Data Scientist
150,CoreLogic,"Irvine, CA",Data Scientist
151,CoreLogic,"Irvine, CA",Data Scientist
152,CoreLogic,"Irvine, CA",Data Scientist
153,CoreLogic,"Irvine, CA",Data Scientist
154,CoreLogic,"Irvine, CA",Data Scientist
155,CoreLogic,"Irvine, CA",Data Scientist
156,Indeed,"San Francisco, CA",Data Scientist
157,Ariosa Diagnostics,"San Jose, CA",Data Scientist
158,CoreLogic,"Irvine, CA",Data Scientist
159,CoreLogic,"Irvine, CA",Data Scientist
160,CoreLogic,"Irvine, CA",Data Scientist
161,CoreLogic,"Irvine, CA",Data Scientist
162,CoreLogic,"Irvine, CA",Data Scientist
163,CoreLogic,"Irvine, CA",Data Scientist
164,CoreLogic,"Irvine, CA",Data Scientist
165,CoreLogic,"Irvine, CA",Data Scientist
166,CoreLogic,"Irvine, CA",Data Scientist
167,CoreLogic,"Irvine, CA",Data Scientist
168,Indeed,"San Francisco, CA",Data Scientist
169,National Security Agency,"Fort George G Meade, MD",Data Scientist
170,Ariosa Diagnostics,"San Jose, CA",Data Scientist
171,Ariosa Diagnostics,"San Jose, CA",Data Scientist
172,Ariosa Diagnostics,"San Jose, CA",Data Scientist
173,Ariosa Diagnostics,"San Jose, CA",Data Scientist
174,Ariosa Diagnostics,"San Jose, CA",Data Scientist
175,Ariosa Diagnostics,"San Jose, CA",Data Scientist
176,Ariosa Diagnostics,"San Jose, CA",Data Scientist
177,Ariosa Diagnostics,"San Jose, CA",Data Scientist
178,Ariosa Diagnostics,"San Jose, CA",Data Scientist
179,Ariosa Diagnostics,"San Jose, CA",Data Scientist
180,Indeed,"San Francisco, CA",Data Scientist
181,CoreLogic,"Irvine, CA",Data Scientist
182,Ariosa Diagnostics,"San Jose, CA",Data Scientist
183,Ariosa Diagnostics,"San Jose, CA",Data Scientist
184,Ariosa Diagnostics,"San Jose, CA",Data Scientist
185,Ariosa Diagnostics,"San Jose, CA",Data Scientist
186,Ariosa Diagnostics,"San Jose, CA",Data Scientist
187,Ariosa Diagnostics,"San Jose, CA",Data Scientist
188,Ariosa Diagnostics,"San Jose, CA",Data Scientist
189,Ariosa Diagnostics,"San Jose, CA",Data Scientist
190,Ariosa Diagnostics,"San Jose, CA",Data Scientist
191,Ariosa Diagnostics,"San Jose, CA",Data Scientist
192,CoreLogic,"Irvine, CA",Data Scientist
193,National Security Agency,"Fort George G Meade, MD",Data Scientist
194,Ariosa Diagnostics,"San Jose, CA",Data Scientist
195,Ariosa Diagnostics,"San Jose, CA",Data Scientist
196,Ariosa Diagnostics,"San Jose, CA",Data Scientist
197,Ariosa Diagnostics,"San Jose, CA",Data Scientist
198,Ariosa Diagnostics,"San Jose, CA",Data Scientist
199,Ariosa Diagnostics,"San Jose, CA",Data Scientist
200,Ariosa Diagnostics,"San Jose, CA",Data Scientist
201,Ariosa Diagnostics,"San Jose, CA",Data Scientist
202,Ariosa Diagnostics,"San Jose, CA",Data Scientist
203,Ariosa Diagnostics,"San Jose, CA",Data Scientist
204,Indeed,"San Francisco, CA",Data Scientist
205,Ariosa Diagnostics,"San Jose, CA",Data Scientist
206,CoreLogic,"Irvine, CA",Data Scientist
207,CoreLogic,"Irvine, CA",Data Scientist
208,CoreLogic,"Irvine, CA",Data Scientist
209,CoreLogic,"Irvine, CA",Data Scientist
210,CoreLogic,"Irvine, CA",Data Scientist
211,CoreLogic,"Irvine, CA",Data Scientist
212,CoreLogic,"Irvine, CA",Data Scientist
213,CoreLogic,"Irvine, CA",Data Scientist
214,CoreLogic,"Irvine, CA",Data Scientist
215,CoreLogic,"Irvine, CA",Data Scientist
216,Indeed,"San Francisco, CA",Data Scientist
217,CoreLogic,"Irvine, CA",Data Scientist
218,Ariosa Diagnostics,"San Jose, CA",Data Scientist
219,Ariosa Diagnostics,"San Jose, CA",Data Scientist
220,Ariosa Diagnostics,"San Jose, CA",Data Scientist
221,Ariosa Diagnostics,"San Jose, CA",Data Scientist
222,Ariosa Diagnostics,"San Jose, CA",Data Scientist
223,Ariosa Diagnostics,"San Jose, CA",Data Scientist
224,Ariosa Diagnostics,"San Jose, CA",Data Scientist
225,Ariosa Diagnostics,"San Jose, CA",Data Scientist
226,Ariosa Diagnostics,"San Jose, CA",Data Scientist
227,Ariosa Diagnostics,"San Jose, CA",Data Scientist
228,Indeed,"San Francisco, CA",Data Scientist
229,CoreLogic,"Irvine, CA",Data Scientist
230,Ariosa Diagnostics,"San Jose, CA",Data Scientist
231,Ariosa Diagnostics,"San Jose, CA",Data Scientist
232,Ariosa Diagnostics,"San Jose, CA",Data Scientist
233,Ariosa Diagnostics,"San Jose, CA",Data Scientist
234,Ariosa Diagnostics,"San Jose, CA",Data Scientist
235,Ariosa Diagnostics,"San Jose, CA",Data Scientist
236,Ariosa Diagnostics,"San Jose, CA",Data Scientist
237,Ariosa Diagnostics,"San Jose, CA",Data Scientist
238,Ariosa Diagnostics,"San Jose, CA",Data Scientist
239,Ariosa Diagnostics,"San Jose, CA",Data Scientist
240,Indeed,"San Francisco, CA",Data Scientist
241,CoreLogic,"Irvine, CA",Data Scientist
242,Ariosa Diagnostics,"San Jose, CA",Data Scientist
243,Ariosa Diagnostics,"San Jose, CA",Data Scientist
244,Ariosa Diagnostics,"San Jose, CA",Data Scientist
245,Ariosa Diagnostics,"San Jose, CA",Data Scientist
246,Ariosa Diagnostics,"San Jose, CA",Data Scientist
247,Ariosa Diagnostics,"San Jose, CA",Data Scientist
248,Ariosa Diagnostics,"San Jose, CA",Data Scientist
249,Ariosa Diagnostics,"San Jose, CA",Data Scientist
250,Ariosa Diagnostics,"San Jose, CA",Data Scientist
251,Ariosa Diagnostics,"San Jose, CA",Data Scientist
252,General Motors,"Austin, TX",Data Scientist
253,CoreLogic,"Irvine, CA",Data Scientist
254,Indeed,"San Francisco, CA",Data Scientist
255,Indeed,"San Francisco, CA",Data Scientist
256,Indeed,"San Francisco, CA",Data Scientist
257,Indeed,"San Francisco, CA",Data Scientist
258,Indeed,"San Francisco, CA",Data Scientist
259,Indeed,"San Francisco, CA",Data Scientist
260,Indeed,"San Francisco, CA",Data Scientist
261,Indeed,"San Francisco, CA",Data Scientist
262,Indeed,"San Francisco, CA",Data Scientist
263,Indeed,"San Francisco, CA",Data Scientist
264,Indeed,"San Francisco, CA",Data Scientist
265,Ariosa Diagnostics,"San Jose, CA",Data Scientist
266,CoreLogic,"Irvine, CA",Data Scientist
267,CoreLogic,"Irvine, CA",Data Scientist
268,CoreLogic,"Irvine, CA",Data Scientist
269,CoreLogic,"Irvine, CA",Data Scientist
270,CoreLogic,"Irvine, CA",Data Scientist
271,CoreLogic,"Irvine, CA",Data Scientist
272,CoreLogic,"Irvine, CA",Data Scientist
273,CoreLogic,"Irvine, CA",Data Scientist
274,CoreLogic,"Irvine, CA",Data Scientist
275,CoreLogic,"Irvine, CA",Data Scientist
276,Indeed,"San Francisco, CA",Data Scientist
277,CoreLogic,"Irvine, CA",Data Scientist
278,Ariosa Diagnostics,"San Jose, CA",Data Scientist
279,Ariosa Diagnostics,"San Jose, CA",Data Scientist
280,Ariosa Diagnostics,"San Jose, CA",Data Scientist
281,Ariosa Diagnostics,"San Jose, CA",Data Scientist
282,Ariosa Diagnostics,"San Jose, CA",Data Scientist
283,Ariosa Diagnostics,"San Jose, CA",Data Scientist
284,Ariosa Diagnostics,"San Jose, CA",Data Scientist
285,Ariosa Diagnostics,"San Jose, CA",Data Scientist
286,Ariosa Diagnostics,"San Jose, CA",Data Scientist
287,Ariosa Diagnostics,"San Jose, CA",Data Scientist
288,Indeed,"San Francisco, CA",Data Scientist
289,Ariosa Diagnostics,"San Jose, CA",Data Scientist
290,CoreLogic,"Irvine, CA",Data Scientist
291,CoreLogic,"Irvine, CA",Data Scientist
292,CoreLogic,"Irvine, CA",Data Scientist
293,CoreLogic,"Irvine, CA",Data Scientist
294,CoreLogic,"Irvine, CA",Data Scientist
295,CoreLogic,"Irvine, CA",Data Scientist
296,CoreLogic,"Irvine, CA",Data Scientist
297,CoreLogic,"Irvine, CA",Data Scientist
298,CoreLogic,"Irvine, CA",Data Scientist
299,CoreLogic,"Irvine, CA",Data Scientist
300,Indeed,"San Francisco, CA",Data Scientist
301,CoreLogic,"Irvine, CA",Data Scientist
302,Ariosa Diagnostics,"San Jose, CA",Data Scientist
303,Ariosa Diagnostics,"San Jose, CA",Data Scientist
304,Ariosa Diagnostics,"San Jose, CA",Data Scientist
305,Ariosa Diagnostics,"San Jose, CA",Data Scientist
306,Ariosa Diagnostics,"San Jose, CA",Data Scientist
307,Ariosa Diagnostics,"San Jose, CA",Data Scientist
308,Ariosa Diagnostics,"San Jose, CA",Data Scientist
309,Ariosa Diagnostics,"San Jose, CA",Data Scientist
310,Ariosa Diagnostics,"San Jose, CA",Data Scientist
311,Ariosa Diagnostics,"San Jose, CA",Data Scientist
312,Indeed,"San Francisco, CA",Data Scientist
313,CoreLogic,"Irvine, CA",Data Scientist
314,Ariosa Diagnostics,"San Jose, CA",Data Scientist
315,Ariosa Diagnostics,"San Jose, CA",Data Scientist
316,Ariosa Diagnostics,"San Jose, CA",Data Scientist
317,Ariosa Diagnostics,"San Jose, CA",Data Scientist
318,Ariosa Diagnostics,"San Jose, CA",Data Scientist
319,Ariosa Diagnostics,"San Jose, CA",Data Scientist
320,Ariosa Diagnostics,"San Jose, CA",Data Scientist
321,Ariosa Diagnostics,"San Jose, CA",Data Scientist
322,Ariosa Diagnostics,"San Jose, CA",Data Scientist
323,Ariosa Diagnostics,"San Jose, CA",Data Scientist
324,Indeed,"San Francisco, CA",Data Scientist
325,CoreLogic,"Irvine, CA",Data Scientist
326,Ariosa Diagnostics,"San Jose, CA",Data Scientist
327,Ariosa Diagnostics,"San Jose, CA",Data Scientist
328,Ariosa Diagnostics,"San Jose, CA",Data Scientist
329,Ariosa Diagnostics,"San Jose, CA",Data Scientist
330,Ariosa Diagnostics,"San Jose, CA",Data Scientist
331,Ariosa Diagnostics,"San Jose, CA",Data Scientist
332,Ariosa Diagnostics,"San Jose, CA",Data Scientist
333,Ariosa Diagnostics,"San Jose, CA",Data Scientist
334,Ariosa Diagnostics,"San Jose, CA",Data Scientist
335,Ariosa Diagnostics,"San Jose, CA",Data Scientist
336,Indeed,"San Francisco, CA",Data Scientist
337,CoreLogic,"Irvine, CA",Data Scientist
338,Ariosa Diagnostics,"San Jose, CA",Data Scientist
339,Ariosa Diagnostics,"San Jose, CA",Data Scientist
340,Ariosa Diagnostics,"San Jose, CA",Data Scientist
341,Ariosa Diagnostics,"San Jose, CA",Data Scientist
342,Ariosa Diagnostics,"San Jose, CA",Data Scientist
343,Ariosa Diagnostics,"San Jose, CA",Data Scientist
344,Ariosa Diagnostics,"San Jose, CA",Data Scientist
345,Ariosa Diagnostics,"San Jose, CA",Data Scientist
346,Ariosa Diagnostics,"San Jose, CA",Data Scientist
347,Ariosa Diagnostics,"San Jose, CA",Data Scientist
348,Indeed,"San Francisco, CA",Data Scientist
349,National Security Agency,"Fort George G Meade, MD",Data Scientist
350,Ariosa Diagnostics,"San Jose, CA",Data Scientist
351,Ariosa Diagnostics,"San Jose, CA",Data Scientist
352,Ariosa Diagnostics,"San Jose, CA",Data Scientist
353,Ariosa Diagnostics,"San Jose, CA",Data Scientist
354,Ariosa Diagnostics,"San Jose, CA",Data Scientist
355,Ariosa Diagnostics,"San Jose, CA",Data Scientist
356,Ariosa Diagnostics,"San Jose, CA",Data Scientist
357,Ariosa Diagnostics,"San Jose, CA",Data Scientist
358,Ariosa Diagnostics,"San Jose, CA",Data Scientist
359,Ariosa Diagnostics,"San Jose, CA",Data Scientist
360,CoreLogic,"Irvine, CA",Data Scientist
361,Indeed,"San Francisco, CA",Data Scientist
362,General Motors,"Austin, TX",Data Scientist
363,General Motors,"Austin, TX",Data Scientist
364,General Motors,"Austin, TX",Data Scientist
365,General Motors,"Austin, TX",Data Scientist
366,General Motors,"Austin, TX",Data Scientist
367,General Motors,"Austin, TX",Data Scientist
368,General Motors,"Austin, TX",Data Scientist
369,General Motors,"Austin, TX",Data Scientist
370,General Motors,"Austin, TX",Data Scientist
371,General Motors,"Austin, TX",Data Scientist
372,Indeed,"San Francisco, CA",Data Scientist
373,Ariosa Diagnostics,"San Jose, CA",Data Scientist
374,CoreLogic,"Irvine, CA",Data Scientist
375,CoreLogic,"Irvine, CA",Data Scientist
376,CoreLogic,"Irvine, CA",Data Scientist
377,CoreLogic,"Irvine, CA",Data Scientist
378,CoreLogic,"Irvine, CA",Data Scientist
379,CoreLogic,"Irvine, CA",Data Scientist
380,CoreLogic,"Irvine, CA",Data Scientist
381,CoreLogic,"Irvine, CA",Data Scientist
382,CoreLogic,"Irvine, CA",Data Scientist
383,CoreLogic,"Irvine, CA",Data Scientist
384,CoreLogic,"Irvine, CA",Data Scientist
385,Indeed,"San Francisco, CA",Data Scientist
386,Ariosa Diagnostics,"San Jose, CA",Data Scientist
387,Ariosa Diagnostics,"San Jose, CA",Data Scientist
388,Ariosa Diagnostics,"San Jose, CA",Data Scientist
389,Ariosa Diagnostics,"San Jose, CA",Data Scientist
390,Ariosa Diagnostics,"San Jose, CA",Data Scientist
391,Ariosa Diagnostics,"San Jose, CA",Data Scientist
392,Ariosa Diagnostics,"San Jose, CA",Data Scientist
393,Ariosa Diagnostics,"San Jose, CA",Data Scientist
394,Ariosa Diagnostics,"San Jose, CA",Data Scientist
395,Ariosa Diagnostics,"San Jose, CA",Data Scientist
396,CoreLogic,"Irvine, CA",Data Scientist
397,Indeed,"San Francisco, CA",Data Scientist
398,Ariosa Diagnostics,"San Jose, CA",Data Scientist
399,Ariosa Diagnostics,"San Jose, CA",Data Scientist
400,Ariosa Diagnostics,"San Jose, CA",Data Scientist
401,Ariosa Diagnostics,"San Jose, CA",Data Scientist
402,Ariosa Diagnostics,"San Jose, CA",Data Scientist
403,Ariosa Diagnostics,"San Jose, CA",Data Scientist
404,Ariosa Diagnostics,"San Jose, CA",Data Scientist
405,Ariosa Diagnostics,"San Jose, CA",Data Scientist
406,Ariosa Diagnostics,"San Jose, CA",Data Scientist
407,Ariosa Diagnostics,"San Jose, CA",Data Scientist
408,General Motors,"Austin, TX",Data Scientist
409,Indeed,"San Francisco, CA",Data Scientist
410,Ariosa Diagnostics,"San Jose, CA",Data Scientist
411,Ariosa Diagnostics,"San Jose, CA",Data Scientist
412,Ariosa Diagnostics,"San Jose, CA",Data Scientist
413,Ariosa Diagnostics,"San Jose, CA",Data Scientist
414,Ariosa Diagnostics,"San Jose, CA",Data Scientist
415,Ariosa Diagnostics,"San Jose, CA",Data Scientist
416,Ariosa Diagnostics,"San Jose, CA",Data Scientist
417,Ariosa Diagnostics,"San Jose, CA",Data Scientist
418,Ariosa Diagnostics,"San Jose, CA",Data Scientist
419,Ariosa Diagnostics,"San Jose, CA",Data Scientist
420,Indeed,"San Francisco, CA",Data Scientist
421,Ariosa Diagnostics,"San Jose, CA",Data Scientist
422,CoreLogic,"Irvine, CA",Data Scientist
423,CoreLogic,"Irvine, CA",Data Scientist
424,CoreLogic,"Irvine, CA",Data Scientist
425,CoreLogic,"Irvine, CA",Data Scientist
426,CoreLogic,"Irvine, CA",Data Scientist
427,CoreLogic,"Irvine, CA",Data Scientist
428,CoreLogic,"Irvine, CA",Data Scientist
429,CoreLogic,"Irvine, CA",Data Scientist
430,CoreLogic,"Irvine, CA",Data Scientist
431,CoreLogic,"Irvine, CA",Data Scientist
432,Ariosa Diagnostics,"San Jose, CA",Data Scientist
433,Indeed,"San Francisco, CA",Data Scientist
434,CoreLogic,"Irvine, CA",Data Scientist
435,CoreLogic,"Irvine, CA",Data Scientist
436,CoreLogic,"Irvine, CA",Data Scientist
437,CoreLogic,"Irvine, CA",Data Scientist
438,CoreLogic,"Irvine, CA",Data Scientist
439,CoreLogic,"Irvine, CA",Data Scientist
440,CoreLogic,"Irvine, CA",Data Scientist
441,CoreLogic,"Irvine, CA",Data Scientist
442,CoreLogic,"Irvine, CA",Data Scientist
443,CoreLogic,"Irvine, CA",Data Scientist
444,CoreLogic,"Irvine, CA",Data Scientist
445,Indeed,"San Francisco, CA",Data Scientist
446,General Motors,"Austin, TX",Data Scientist
447,General Motors,"Austin, TX",Data Scientist
448,General Motors,"Austin, TX",Data Scientist
449,General Motors,"Austin, TX",Data Scientist
450,General Motors,"Austin, TX",Data Scientist
451,General Motors,"Austin, TX",Data Scientist
452,General Motors,"Austin, TX",Data Scientist
453,General Motors,"Austin, TX",Data Scientist
454,General Motors,"Austin, TX",Data Scientist
455,General Motors,"Austin, TX",Data Scientist
456,CoreLogic,"Irvine, CA",Data Scientist
457,Indeed,"San Francisco, CA",Data Scientist
458,Ariosa Diagnostics,"San Jose, CA",Data Scientist
459,Ariosa Diagnostics,"San Jose, CA",Data Scientist
460,Ariosa Diagnostics,"San Jose, CA",Data Scientist
461,Ariosa Diagnostics,"San Jose, CA",Data Scientist
462,Ariosa Diagnostics,"San Jose, CA",Data Scientist
463,Ariosa Diagnostics,"San Jose, CA",Data Scientist
464,Ariosa Diagnostics,"San Jose, CA",Data Scientist
465,Ariosa Diagnostics,"San Jose, CA",Data Scientist
466,Ariosa Diagnostics,"San Jose, CA",Data Scientist
467,Ariosa Diagnostics,"San Jose, CA",Data Scientist
468,Ariosa Diagnostics,"San Jose, CA",Data Scientist
469,CoreLogic,"Irvine, CA",Data Scientist
470,Indeed,"San Francisco, CA",Data Scientist
471,Indeed,"San Francisco, CA",Data Scientist
472,Indeed,"San Francisco, CA",Data Scientist
473,Indeed,"San Francisco, CA",Data Scientist
474,Indeed,"San Francisco, CA",Data Scientist
475,Indeed,"San Francisco, CA",Data Scientist
476,Indeed,"San Francisco, CA",Data Scientist
477,Indeed,"San Francisco, CA",Data Scientist
478,Indeed,"San Francisco, CA",Data Scientist
479,Indeed,"San Francisco, CA",Data Scientist
480,Ariosa Diagnostics,"San Jose, CA",Data Scientist
481,Indeed,"San Francisco, CA",Data Scientist
482,CoreLogic,"Irvine, CA",Data Scientist
483,CoreLogic,"Irvine, CA",Data Scientist
484,CoreLogic,"Irvine, CA",Data Scientist
485,CoreLogic,"Irvine, CA",Data Scientist
486,CoreLogic,"Irvine, CA",Data Scientist
487,CoreLogic,"Irvine, CA",Data Scientist
488,CoreLogic,"Irvine, CA",Data Scientist
489,CoreLogic,"Irvine, CA",Data Scientist
490,CoreLogic,"Irvine, CA",Data Scientist
491,CoreLogic,"Irvine, CA",Data Scientist
492,Ariosa Diagnostics,"San Jose, CA",Data Scientist
493,CoreLogic,"Irvine, CA",Data Scientist
494,Indeed,"San Francisco, CA",Data Scientist
495,Indeed,"San Francisco, CA",Data Scientist
496,Indeed,"San Francisco, CA",Data Scientist
497,Indeed,"San Francisco, CA",Data Scientist
498,Indeed,"San Francisco, CA",Data Scientist
499,Indeed,"San Francisco, CA",Data Scientist
500,Indeed,"San Francisco, CA",Data Scientist
501,Indeed,"San Francisco, CA",Data Scientist
502,Indeed,"San Francisco, CA",Data Scientist
503,Indeed,"San Francisco, CA",Data Scientist
504,National Security Agency,"Fort George G Meade, MD",Data Scientist
505,Ariosa Diagnostics,"San Jose, CA",Data Scientist
506,CoreLogic,"Irvine, CA",Data Scientist
507,CoreLogic,"Irvine, CA",Data Scientist
508,CoreLogic,"Irvine, CA",Data Scientist
509,CoreLogic,"Irvine, CA",Data Scientist
510,CoreLogic,"Irvine, CA",Data Scientist
