,company,location,title,city,state,level
1138.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1139.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
114.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1140.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1141.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1142.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1143.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1144.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1145.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1146.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1147.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1148.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1149.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
115.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1150.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1151.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1152.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1153.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1154.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1155.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1156.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1157.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1158.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1159.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
116.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1160.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1161.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1162.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1163.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1164.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1165.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1166.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1167.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1168.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1169.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
